MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
53,0,0,3.001510481941291,4.728183361083407,gaussian,0.6879932100812882,0.2608497694336787,,,,,,,,,,,,,,1.8286120540242788e-06,-1.0640122628735836e-05,5e-08,5e-08,0.0022760520066666665,63.674067966153125,63.674067966153125,2.853705622554312e-05,-2.4291750563719322e-05,5e-08,5e-08
54,0,0,2.419181682735924,3.365692785741298,gaussian,0.8246789121718295,0.2354027075260376,,,,,,,,,,,,,,-4.2161696617650064e-07,-1.4694630173915207e-05,5e-08,5e-08,0.0022760520066666665,56.32593203384686,56.32593203384686,5.037668904988152e-05,1.4360909036134105e-06,5e-08,5e-08
55,0,0,0.9018415497953431,4.307785177983834,gaussian,0.8061059066277314,0.3255146802593751,,,,,,,,,,,,,,-4.709093202672926e-06,0.00011035978970365734,5e-08,5e-08,0.0022760520066666665,48.977796101540605,48.977796101540605,-0.00013921379918039082,-2.5709343559642812e-05,5e-08,5e-08
56,0,0,1.489890192065529,2.735383757255546,gaussian,0.8297500008190792,0.2458898561488594,,,,,,,,,,,,,,-3.0326498934457206e-08,0.00011938742444420647,5e-08,5e-08,0.0022760520066666665,41.62966016923435,41.62966016923435,-0.00011729521863172634,4.217436704104281e-05,5e-08,5e-08
57,0,0,1.837877208566921,4.206497576938683,gaussian,0.8275641857906526,0.2998566058129453,,,,,,,,,,,,,,-2.757103258154251e-06,1.3108935401279096e-05,5e-08,5e-08,0.0022760520066666665,34.28152423692809,34.28152423692809,-3.17592970297077e-05,-6.797321456016997e-06,5e-08,5e-08
58,0,0,2.683237486484835,5.428840009719644,gaussian,0.7153650514984444,0.2430410531982918,,,,,,,,,,,,,,-3.265732132051926e-06,-3.299989923594991e-05,5e-08,5e-08,0.0024343357733333337,85.75719081890182,85.75719081890182,3.152881837959457e-05,-3.566362802897595e-05,5e-08,5e-08
59,0,0,5.225161723605935,7.697004338584669,gaussian,0.7194818078169019,0.232737543598911,,,,,,,,,,,,,,4.408330059579122e-06,-4.707585341271198e-05,5e-08,5e-08,0.0024343357733333337,78.39799344207272,78.39799344207272,5.079314418608478e-05,-4.053186382445487e-05,5e-08,5e-08
60,0,0,3.997730614761808,3.530645038996997,gaussian,0.7507703295284872,0.2904694313081103,,,,,,,,,,,,,,-1.542805491296215e-06,-4.8330105197076026e-05,5e-08,5e-08,0.0024343357733333337,71.03879606524364,71.03879606524364,4.0329947391487254e-05,-0.00010192932442680777,5e-08,5e-08
61,0,0,4.179045883464175,3.93953470126489,gaussian,0.7436336838883897,0.3071084242676698,,,,,,,,,,,,,,-3.066525417166675e-06,1.2933644016295269e-06,5e-08,5e-08,0.0024343357733333337,63.67959868841454,63.67959868841454,7.403745201349713e-05,8.842115998339842e-05,5e-08,5e-08
62,0,0,4.811792448198355,3.277427329679154,gaussian,0.5853906161154707,0.2945792506167218,,,,,,,,,,,,,,-2.2264824541127145e-06,-7.307967321074718e-06,5e-08,5e-08,0.0024343357733333337,56.32040131158546,56.32040131158546,1.777940088703605e-05,-3.924721431750084e-05,5e-08,5e-08
63,0,0,4.061778720815832,2.888630220012677,gaussian,0.9544660876082602,0.2587459073215618,,,,,,,,,,,,,,5.056512290995468e-06,0.00013278152993714075,5e-08,5e-08,0.0024343357733333337,48.96120393475636,48.96120393475636,-8.039580249936276e-05,7.17954728513678e-05,5e-08,5e-08
64,0,0,5.229149005498599,3.696686985028319,gaussian,0.751272503255551,0.3186341386781596,,,,,,,,,,,,,,1.1405399243240449e-05,9.552231114958511e-05,5e-08,5e-08,0.0024343357733333337,41.602006557927275,41.602006557927275,-6.51424458351097e-05,5.205292317175106e-05,5e-08,5e-08
65,0,0,1.29920154129278,6.808031125577973,gaussian,0.823914407432985,0.307395470925367,,,,,,,,,,,,,,-3.598268833054437e-06,6.912792439494201e-05,5e-08,5e-08,0.0024343357733333337,34.242809181098174,34.242809181098174,9.229838153452387e-05,0.00014192140244900453,5e-08,5e-08
