MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
508,0.0,0.0,0.00023195459975027872,5.4113102370665224e-05,pseudo-voigt,0.2952140903523601,0.6874194528671209,0.0,-21.252272962868574,-21.252272962868574,-0.0,0.0,0.00023195459975027872,5.4113102370665224e-05
509,0.0,0.0,0.00019425821611806173,0.00016593752193350567,pseudo-voigt,0.2574221854305515,0.8523084216833481,0.0,7.1584645470289985,7.1584645470289985,0.0,-0.0,0.00019425821611806173,0.00016593752193350567
510,0.0,0.0,0.00011711790867056206,0.0001955703948570315,pseudo-voigt,0.3008477311828077,0.7867209188742096,0.0,-21.47539364108694,-21.47539364108694,-0.0,0.0,0.00011711790867056206,0.0001955703948570315
511,0.0,0.0,0.00013291923786865623,0.0002934775565687084,pseudo-voigt,0.3093621382273801,0.8946019199834441,0.0,67.158464547029,67.158464547029,0.0,0.0,0.00013291923786865623,0.0002934775565687084
512,0.0,0.0,0.0001710709011605769,0.00021416798913448786,pseudo-voigt,0.2327902869029828,0.7197834209340889,0.0,21.475393641086995,21.475393641086995,0.0,-0.0,0.0001710709011605769,0.00021416798913448786
513,0.0,0.0,0.00013185651539303328,0.00023044452762169902,pseudo-voigt,0.352870724240375,0.7959963984335402,0.0,-36.92716394449545,-36.92716394449545,0.0,0.0,0.00013185651539303328,0.00023044452762169902
514,0.0,0.0,0.00022229662413916776,3.638762494704545e-05,pseudo-voigt,0.3561319562109972,0.7691279954552513,0.0,36.92716394449546,36.92716394449546,0.0,0.0,0.00022229662413916776,3.638762494704545e-05
515,0.0,0.0,0.00024881660781944534,0.0003673588017164211,pseudo-voigt,0.2791261667002135,0.7485928722329834,0.0,83.07283605550454,83.07283605550454,0.0,0.0,0.00024881660781944534,0.0003673588017164211
516,0.0,0.0,0.00020224799052242023,8.360068770060108e-05,pseudo-voigt,0.3053569826859626,0.7630920836616562,0.0,-23.072836055504553,-23.072836055504553,0.0,0.0,0.00020224799052242023,8.360068770060108e-05
517,0.0,0.0,0.0002871557772872555,4.2061781905107226e-05,pseudo-voigt,0.2662510681283518,0.928396263039123,0.0,-60.0,-60.0,0.0,0.0,0.0002871557772872555,4.2061781905107226e-05
