MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay
198,0.0,0.0,5e-08,5e-08,gaussian,0.3142914126507941,0.7824092392386751,0.0,5e-08,5e-08
199,0.0,0.0,5e-08,5e-08,gaussian,0.3077522804592231,0.76837788676077,0.0,5e-08,5e-08
200,0.0,0.0,5e-08,5e-08,gaussian,0.2477291314843198,0.7387770282420337,0.0,5e-08,5e-08
201,0.0,0.0,5e-08,5e-08,gaussian,0.249970344006372,0.8081160285667524,0.0011432763066666666,5e-08,5e-08
202,0.0,0.0,5e-08,5e-08,gaussian,0.2718605210343082,0.7702547101696259,0.0011432763066666666,5e-08,5e-08
203,0.0,0.0,5e-08,5e-08,gaussian,0.306412983574331,0.7653000418234982,0.0011432763066666666,5e-08,5e-08
204,0.0,0.0,5e-08,5e-08,gaussian,0.3322240750859294,0.7105676625560006,0.0011432763066666666,5e-08,5e-08
205,0.0,0.0,5e-08,5e-08,gaussian,0.2944938700058825,0.769582232820099,0.0,5e-08,5e-08
206,0.0,0.0,5e-08,5e-08,gaussian,0.3221692748299129,0.8868445847905165,0.0,5e-08,5e-08
207,0.0,0.0,5e-08,5e-08,gaussian,0.2904579120431857,0.7343087211695918,0.0,5e-08,5e-08
208,0.0,0.0,5e-08,5e-08,gaussian,0.2909440619131256,0.712561673357996,0.0,5e-08,5e-08
209,0.0,0.0,5e-08,5e-08,gaussian,0.2952960394611291,0.7753757937259688,0.0,5e-08,5e-08
210,0.0,0.0,5e-08,5e-08,gaussian,0.2886791745506473,0.7857534755507679,0.0,5e-08,5e-08
211,0.0,0.0,5e-08,5e-08,gaussian,0.2810633585814659,0.6609326435742935,0.0,5e-08,5e-08
212,0.0,0.0,5e-08,5e-08,gaussian,0.3135451034318701,0.7843395274629469,0.0,5e-08,5e-08
213,0.0,0.0,5e-08,5e-08,gaussian,0.3068188273035891,0.7237676231049543,0.0,5e-08,5e-08
214,0.0,0.0,5e-08,5e-08,gaussian,0.2836011258284813,0.7626260306431718,0.0,5e-08,5e-08
215,0.0,0.0,5e-08,5e-08,gaussian,0.2490506170814926,0.6845282198691147,0.0,5e-08,5e-08
216,0.0,0.0,5e-08,5e-08,gaussian,0.3135677297732113,0.7699504087743112,0.0,5e-08,5e-08
217,0.0,0.0,5e-08,5e-08,gaussian,0.3108342921948332,0.7494974088958146,0.0,5e-08,5e-08
218,0.0,0.0,5e-08,5e-08,gaussian,0.3155759946264294,0.781691726391336,0.0,5e-08,5e-08
219,0.0,0.0,5e-08,5e-08,gaussian,0.2893987782116624,0.6966650582864461,0.0,5e-08,5e-08
220,0.0,0.0,5e-08,5e-08,gaussian,0.2710710062698206,0.8042339068392566,0.0,5e-08,5e-08
221,0.0,0.0,5e-08,5e-08,gaussian,0.2952435415323075,0.8238315986598237,0.0,5e-08,5e-08
222,0.0,0.0,5e-08,5e-08,gaussian,0.322446188493071,0.6968032976441042,0.0,5e-08,5e-08
223,0.0,0.0,5e-08,5e-08,gaussian,0.2657189209914826,0.7938021858857484,0.0,5e-08,5e-08
224,0.0,0.0,5e-08,5e-08,gaussian,0.3281020821211859,0.8427139845816553,0.0,5e-08,5e-08
225,0.0,0.0,5e-08,5e-08,gaussian,0.3169990002339471,0.8704204155745794,0.0,5e-08,5e-08
226,0.0,0.0,5e-08,5e-08,gaussian,0.3299320691148069,0.6599871176831164,0.0,5e-08,5e-08
227,0.0,0.0,5e-08,5e-08,gaussian,0.2758647802050893,0.7474935457234415,0.0,5e-08,5e-08
228,0.0,0.0,5e-08,5e-08,gaussian,0.3297650969839183,0.8276439590826886,0.0,5e-08,5e-08
229,0.0,0.0,5e-08,5e-08,gaussian,0.3124062642405946,0.9094316730124009,0.0,5e-08,5e-08
230,0.0,0.0,5e-08,5e-08,gaussian,0.2673776576083483,0.7810860463978672,0.0,5e-08,5e-08
231,0.0,0.0,5e-08,5e-08,gaussian,0.2796569994190748,0.5939918525240114,0.0,5e-08,5e-08
232,0.0,0.0,5e-08,5e-08,gaussian,0.292832641684461,0.7650729038139337,0.0,5e-08,5e-08
233,0.0,0.0,5e-08,5e-08,gaussian,0.3275594161637223,0.8774331991782889,0.0,5e-08,5e-08
234,0.0,0.0,5e-08,5e-08,gaussian,0.2830292886325315,0.9168512574695411,0.0,5e-08,5e-08
235,0.0,0.0,5e-08,5e-08,gaussian,0.3246263349996822,0.9208031092389475,0.0,5e-08,5e-08
236,0.0,0.0,5e-08,5e-08,gaussian,0.282186591145242,0.6658842530924095,0.0,5e-08,5e-08
237,0.0,0.0,5e-08,5e-08,gaussian,0.2895698421788667,0.7489843086036482,0.0,5e-08,5e-08
238,0.0,0.0,5e-08,5e-08,gaussian,0.2744555642271054,0.8776293234513463,0.0,5e-08,5e-08
239,0.0,0.0,5e-08,5e-08,gaussian,0.3134368780326658,0.6106510442875178,0.0,5e-08,5e-08
240,0.0,0.0,5e-08,5e-08,gaussian,0.3025176290947885,0.9026202597627234,0.0,5e-08,5e-08
