MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay,theta_degrees,theta_position
82,-2.5000667486111818e-06,-1.2492767571858892e-05,5e-08,5e-08,gaussian,0.3218534252097113,0.735188470287858,0.0,4.866055145071637e-06,-1.177459479885071e-05,5e-08,5e-08,33.77031371247829,33.77031371247829
83,-4.6771204200366795e-06,9.439390778244406e-07,5e-08,5e-08,gaussian,0.3492490324893227,0.8476114512054346,0.0,4.3404934110473095e-06,-1.9815633612940697e-06,5e-08,5e-08,-13.127901348580963,-13.127901348580963
84,-6.1785619255537625e-06,-0.00012566864014996982,5e-08,5e-08,gaussian,0.3068598512023778,0.9024561929852948,0.0,0.00012205248025683612,3.056098505881566e-05,5e-08,5e-08,-73.12790134858096,-73.12790134858096
85,8.526230168750224e-07,-0.00013656252044653107,5e-08,5e-08,gaussian,0.279407282912409,0.6682870596086826,0.0,-0.00013420577665723517,-2.527564971561475e-05,5e-08,5e-08,-79.69185202287153,-79.69185202287153
86,2.662377771385281e-06,-6.098876504615581e-05,5e-08,5e-08,gaussian,0.272620178044131,0.6903689765979125,0.0,4.7399684810317405e-05,3.8470606924447266e-05,5e-08,5e-08,-53.43604932570946,-53.43604932570946
87,6.561121336827147e-07,-1.4203918252241828e-05,5e-08,5e-08,gaussian,0.2656695263825486,0.8026483047477173,0.0,4.168430050766064e-06,1.3594335870508891e-05,5e-08,5e-08,-19.691852022871473,-19.691852022871473
88,2.1380005476362358e-06,0.00011000121321647854,5e-08,5e-08,gaussian,0.2957032073415667,0.7350966083387359,0.0,-9.419484481876089e-05,5.6852169395797306e-05,5e-08,5e-08,60.00000000000001,60.00000000000001
89,-4.742510810590119e-06,0.00015740893133081428,5e-08,5e-08,gaussian,0.2764577658609647,0.7753000609188263,0.0,0.00015738264433312718,-5.546740863782756e-06,5e-08,5e-08,86.25580269716198,86.25580269716198
90,5.979769195345458e-06,7.362806353240179e-05,5e-08,5e-08,gaussian,0.2912979034542534,0.7814804664587898,0.0,5.218989459537252e-05,5.227871728806002e-05,5e-08,5e-08,-40.3081479771285,-40.3081479771285
91,-7.617759694745908e-06,4.249253770685443e-05,5e-08,5e-08,gaussian,0.2846485693356988,0.6435138603064344,0.0,-1.1966008663226685e-05,-4.147843608680207e-05,5e-08,5e-08,-26.25580269716201,-26.25580269716201
92,-3.5006092232732457e-06,-1.860353036221152e-05,5e-08,5e-08,gaussian,0.2749443170511785,0.7952686080982133,0.0,5.606099198822682e-06,1.808085337158485e-05,5e-08,5e-08,-6.569742989289281,-6.569742989289281
93,-7.351762092072546e-06,-0.00012304128364135832,5e-08,5e-08,gaussian,0.2887155663543919,0.8036789311271981,0.0,-0.00011974867390866751,2.9214054547207753e-05,5e-08,5e-08,79.70922896786797,79.70922896786797
94,1.3073214988056759e-05,-0.00014543082075407876,5e-08,5e-08,gaussian,0.2943884653184236,0.7984487074983021,0.0,0.00014597266592791157,3.6074058861238726e-06,5e-08,5e-08,86.27897195715724,86.27897195715724
95,-7.4403431804757395e-06,-1.0380297444122327e-05,5e-08,5e-08,gaussian,0.3063668412339434,0.7941286108015999,0.0,-4.8858766010003314e-06,-1.1799893707635749e-05,5e-08,5e-08,13.13948597857862,13.13948597857862
96,2.677617109369046e-06,1.955439138494808e-05,5e-08,5e-08,gaussian,0.2537475178873173,0.7279478598064884,0.0,-6.256670490034246e-06,1.8718919044625748e-05,5e-08,5e-08,26.27897195715724,26.27897195715724
97,9.475573190073759e-07,9.185550512228694e-05,5e-08,5e-08,gaussian,0.3329443035833266,0.7433394435563851,0.0,-6.637823769919844e-05,6.350008855184371e-05,5e-08,5e-08,46.86051402142139,46.86051402142139
98,-7.799596913806142e-06,0.00013097530520644088,5e-08,5e-08,gaussian,0.2918556654158573,0.8629638055407576,0.0,-0.00012760737743933986,3.05241135660321e-05,5e-08,5e-08,73.13948597857862,73.13948597857862
99,-9.314996448108142e-07,5.73088678202914e-05,5e-08,5e-08,gaussian,0.2782620321803461,0.8387619849854957,0.0,-3.634922693656577e-05,-4.431599850557305e-05,5e-08,5e-08,-40.29077103213206,-40.29077103213206
100,3.007228047877081e-06,8.989151812463559e-05,5e-08,5e-08,gaussian,0.2384281685376321,0.7172083712364486,0.0,7.935195230462222e-05,4.234142317788318e-05,5e-08,5e-08,-59.99999999999997,-59.99999999999997
101,-3.934231750290703e-07,-3.091310177122826e-06,5e-08,5e-08,gaussian,0.2819982268816048,0.7234691477179988,0.0011432763066666666,-1.6440827197238307e-06,2.6472575274307186e-06,5e-08,5e-08,39.09529933864238,39.09529933864238
102,-2.51372695435186e-07,-9.916319110191584e-06,5e-08,5e-08,gaussian,0.2674822977420248,0.5399023257466122,0.0011432763066666666,6.058261301242956e-06,-7.854555552863773e-06,5e-08,5e-08,39.09529933864241,39.09529933864241
103,-1.1358694273079059e-05,2.9907693478433493e-06,5e-08,5e-08,gaussian,0.3142639558869587,0.9435298308139681,0.0011432763066666666,4.441270179531241e-06,-1.0873810559030578e-05,5e-08,5e-08,-53.031766446214135,-53.031766446214135
104,3.4737636724601287e-06,2.0888523508995266e-05,5e-08,5e-08,gaussian,0.2867347794767054,0.7575278520131815,0.0011432763066666666,2.0076765148176547e-05,-6.732083601895859e-06,5e-08,5e-08,80.90470066135762,80.90470066135762
105,-3.117182315089637e-06,4.652499060250977e-06,5e-08,5e-08,gaussian,0.2793464397281063,0.877759127056026,0.0,1.218778976147429e-06,-5.4659995333374145e-06,5e-08,5e-08,-21.252272962868574,-21.252272962868574
106,6.897239759791586e-06,5.086586574171664e-07,5e-08,5e-08,gaussian,0.2326193166684971,0.7424732584342425,0.0,-6.907318549941698e-06,3.4583288369760384e-07,5e-08,5e-08,-7.0840909876228295,-7.0840909876228295
107,-2.920606903870696e-06,1.7958809154538559e-06,5e-08,5e-08,gaussian,0.3015580621021013,0.6756165852587945,0.0,-5.169201019280879e-07,-3.389384392135422e-06,5e-08,5e-08,-67.08409098762289,-67.08409098762289
108,-3.912823096474271e-07,2.3050890323960923e-05,5e-08,5e-08,gaussian,0.2742458001290036,0.6639277044493995,0.0,-2.138400977205126e-05,8.615147859551481e-06,5e-08,5e-08,67.08409098762286,67.08409098762286
109,3.218175502643882e-06,-1.541481316115201e-05,5e-08,5e-08,gaussian,0.299373809772755,0.876794289547568,0.0,-1.2118836653168715e-05,1.0055193510462985e-05,5e-08,5e-08,38.524606358913076,38.524606358913076
110,-7.007558920206467e-06,1.2096636431019268e-06,5e-08,5e-08,gaussian,0.2922041152757701,0.7882104140935376,0.0,6.802196081118353e-06,-2.073474529292792e-06,5e-08,5e-08,-7.15846454702897,-7.15846454702897
