MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay
91,-7.617759694745908e-06,4.249253770685443e-05,5e-08,5e-08,gaussian,0.2846485693356988,0.6435138603064344,0.0,3.258782347040225e-05,7.819841622161398e-05,5e-08,5e-08
92,-3.5006092232732457e-06,-1.860353036221152e-05,5e-08,5e-08,gaussian,0.2749443170511785,0.7952686080982133,0.0,1.580684796709989e-05,2.6356797265351384e-05,5e-08,5e-08
93,-7.351762092072546e-06,-0.00012304128364135832,5e-08,5e-08,gaussian,0.2887155663543919,0.8036789311271981,0.0,0.0001119918544974483,-9.022998019425028e-05,5e-08,5e-08
94,1.3073214988056759e-05,-0.00014543082075407876,5e-08,5e-08,gaussian,0.2943884653184236,0.7984487074983021,0.0,0.00013948365014575473,-8.929660050508551e-05,5e-08,5e-08
95,-7.4403431804757395e-06,-1.0380297444122327e-05,5e-08,5e-08,gaussian,0.3063668412339434,0.7941286108015999,0.0,8.484262269039872e-06,-6.972613669424429e-05,5e-08,5e-08
96,2.677617109369046e-06,1.955439138494808e-05,5e-08,5e-08,gaussian,0.2537475178873173,0.7279478598064884,0.0,6.902763917942453e-05,9.98808216917745e-05,5e-08,5e-08
97,9.475573190073759e-07,9.185550512228694e-05,5e-08,5e-08,gaussian,0.3329443035833266,0.7433394435563851,0.0,-1.4831486039235403e-05,9.215612698713781e-05,5e-08,5e-08
98,-7.799596913806142e-06,0.00013097530520644088,5e-08,5e-08,gaussian,0.2918556654158573,0.8629638055407576,0.0,-0.00010575046290099122,5.8406766264793e-05,5e-08,5e-08
99,-9.314996448108142e-07,5.73088678202914e-05,5e-08,5e-08,gaussian,0.2782620321803461,0.8387619849854957,0.0,3.614532253835456e-05,0.00010130933241611062,5e-08,5e-08
100,3.007228047877081e-06,8.989151812463559e-05,5e-08,5e-08,gaussian,0.2384281685376321,0.7172083712364486,0.0,-0.00014053088047744175,1.8847190141924467e-05,5e-08,5e-08
101,-3.934231750290703e-07,-3.091310177122826e-06,5e-08,5e-08,gaussian,0.2819982268816048,0.7234691477179988,0.0011432763066666666,1.9906226077134876e-05,5.334400758168443e-06,5e-08,5e-08
102,-2.51372695435186e-07,-9.916319110191584e-06,5e-08,5e-08,gaussian,0.2674822977420248,0.5399023257466122,0.0011432763066666666,-1.621289390988565e-05,-1.2598535493272697e-05,5e-08,5e-08
103,-1.1358694273079059e-05,2.9907693478433493e-06,5e-08,5e-08,gaussian,0.3142639558869587,0.9435298308139681,0.0011432763066666666,-2.168245175872542e-05,5.208927769223255e-06,5e-08,5e-08
104,3.4737636724601287e-06,2.0888523508995266e-05,5e-08,5e-08,gaussian,0.2867347794767054,0.7575278520131815,0.0011432763066666666,5.054186530488613e-05,4.729871410885443e-06,5e-08,5e-08
105,-3.117182315089637e-06,4.652499060250977e-06,5e-08,5e-08,gaussian,0.2793464397281063,0.877759127056026,0.0,1.8494198958478655e-05,1.2251498140216595e-05,5e-08,5e-08
106,6.897239759791586e-06,5.086586574171664e-07,5e-08,5e-08,gaussian,0.2326193166684971,0.7424732584342425,0.0,-6.789438253740537e-06,-2.436540465550547e-06,5e-08,5e-08
107,-2.920606903870696e-06,1.7958809154538559e-06,5e-08,5e-08,gaussian,0.3015580621021013,0.6756165852587945,0.0,-4.450014091789328e-05,5.074971596556693e-06,5e-08,5e-08
108,-3.912823096474271e-07,2.3050890323960923e-05,5e-08,5e-08,gaussian,0.2742458001290036,0.6639277044493995,0.0,1.4543820032440892e-05,1.977555705900106e-05,5e-08,5e-08
109,3.218175502643882e-06,-1.541481316115201e-05,5e-08,5e-08,gaussian,0.299373809772755,0.876794289547568,0.0,8.870878874871449e-06,-1.5292600308501705e-05,5e-08,5e-08
110,-7.007558920206467e-06,1.2096636431019268e-06,5e-08,5e-08,gaussian,0.2922041152757701,0.7882104140935376,0.0,1.3129791378451805e-06,-4.289630715686468e-06,5e-08,5e-08
111,-8.114743614304816e-07,1.190954000615184e-05,5e-08,5e-08,gaussian,0.3168920638514697,0.8947057990455328,0.0,-1.1124398714439805e-05,7.580865145826066e-06,5e-08,5e-08
112,-4.6193548870645775e-06,-2.6609147714842078e-06,5e-08,5e-08,gaussian,0.2691364566344271,0.8045929572298254,0.0,-7.663191987774527e-06,-1.340461918263119e-06,5e-08,5e-08
113,-2.112629226848639e-06,-2.813133993854257e-05,5e-08,5e-08,gaussian,0.2567050057908133,0.6636949238132754,0.0,8.932933946964033e-06,-3.0168719544478084e-05,5e-08,5e-08
114,-5.120352824562536e-06,4.0536485622749336e-06,5e-08,5e-08,gaussian,0.2669641382058888,0.8561548458381704,0.0,-7.098650627740519e-05,-1.734329616017079e-05,5e-08,5e-08
115,-2.0711080275839402e-06,-1.0302365480365377e-05,5e-08,5e-08,gaussian,0.2838624815454566,0.8124723101227509,0.0,-6.357141303756629e-06,-1.8519353177828634e-05,5e-08,5e-08
116,9.340879242451575e-07,3.462845129797488e-05,5e-08,5e-08,gaussian,0.3316764787188318,0.6461845105135177,0.0,-2.7445575056776485e-05,3.454705496295206e-05,5e-08,5e-08
117,2.458734000862952e-06,1.374720239846797e-05,5e-08,5e-08,gaussian,0.2911779135928069,0.7983397739962849,0.0,1.9267725354921794e-05,4.376204228283689e-06,5e-08,5e-08
118,3.4662309471101207e-06,-1.7955816840199483e-06,5e-08,5e-08,gaussian,0.3086450272692751,0.7910247808120933,0.0,-6.239106115024698e-05,-3.183908401005437e-05,5e-08,5e-08
