MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay,theta_degrees,theta_position,mux,muy
75,0.0,0.0,5e-08,5e-08,gaussian,0.3009937418593609,0.8622055670717876,0.0,5e-08,5e-08,-40.32773528435871,-40.32773528435871,0.0,0.0
76,0.0,0.0,5e-08,5e-08,gaussian,0.2868644208729223,0.8201115096431242,0.0,5e-08,5e-08,86.22968628752173,86.22968628752173,0.0,0.0
77,0.0,0.0,5e-08,5e-08,gaussian,0.2655573261792257,0.810423205940342,0.0,5e-08,5e-08,60.0,60.0,0.0,0.0
78,0.0,0.0,5e-08,5e-08,gaussian,0.2766978940383274,0.8165100176594445,0.0,5e-08,5e-08,86.22968628752176,86.22968628752176,0.0,-0.0
79,0.0,0.0,5e-08,5e-08,gaussian,0.2791065450700332,0.8950485915361436,0.0,5e-08,5e-08,40.327735284358766,40.327735284358766,0.0,-0.0
80,0.0,0.0,5e-08,5e-08,gaussian,0.2864624319089646,0.8593895477670251,0.0,5e-08,5e-08,73.11484314376088,73.11484314376088,0.0,-0.0
81,0.0,0.0,5e-08,5e-08,gaussian,0.3292054467154034,0.6497066162866663,0.0,5e-08,5e-08,-66.55742157188044,-66.55742157188044,-0.0,0.0
82,0.0,0.0,5e-08,5e-08,gaussian,0.3218534252097113,0.735188470287858,0.0,5e-08,5e-08,66.55742157188043,66.55742157188043,0.0,0.0
83,0.0,0.0,5e-08,5e-08,gaussian,0.3492490324893227,0.8476114512054346,0.0,5e-08,5e-08,-19.6918520228715,-19.6918520228715,0.0,0.0
84,0.0,0.0,5e-08,5e-08,gaussian,0.3068598512023778,0.9024561929852948,0.0,5e-08,5e-08,-59.999999999999915,-59.999999999999915,-0.0,0.0
85,0.0,0.0,5e-08,5e-08,gaussian,0.279407282912409,0.6682870596086826,0.0,5e-08,5e-08,73.12790134858102,73.12790134858102,0.0,-0.0
86,0.0,0.0,5e-08,5e-08,gaussian,0.272620178044131,0.6903689765979125,0.0,5e-08,5e-08,-73.12790134858102,-73.12790134858102,0.0,0.0
87,0.0,0.0,5e-08,5e-08,gaussian,0.2656695263825486,0.8026483047477173,0.0,5e-08,5e-08,-26.25580269716201,-26.25580269716201,-0.0,0.0
88,0.0,0.0,5e-08,5e-08,gaussian,0.2957032073415667,0.7350966083387359,0.0,5e-08,5e-08,53.436049325709504,53.436049325709504,0.0,0.0
89,0.0,0.0,5e-08,5e-08,gaussian,0.2764577658609647,0.7753000609188263,0.0,5e-08,5e-08,79.69185202287147,79.69185202287147,0.0,-0.0
90,0.0,0.0,5e-08,5e-08,gaussian,0.2912979034542534,0.7814804664587898,0.0,5e-08,5e-08,-33.744197302837975,-33.744197302837975,-0.0,0.0
91,0.0,0.0,5e-08,5e-08,gaussian,0.2846485693356988,0.6435138603064344,0.0,5e-08,5e-08,33.744197302838,33.744197302838,0.0,-0.0
92,0.0,0.0,5e-08,5e-08,gaussian,0.2749443170511785,0.7952686080982133,0.0,5e-08,5e-08,-6.569742989289281,-6.569742989289281,-0.0,0.0
93,0.0,0.0,5e-08,5e-08,gaussian,0.2887155663543919,0.8036789311271981,0.0,5e-08,5e-08,73.13948597857862,73.13948597857862,0.0,0.0
94,0.0,0.0,5e-08,5e-08,gaussian,0.2943884653184236,0.7984487074983021,0.0,5e-08,5e-08,86.27897195715724,86.27897195715724,0.0,-0.0
95,0.0,0.0,5e-08,5e-08,gaussian,0.3063668412339434,0.7941286108015999,0.0,5e-08,5e-08,19.709228967867944,19.709228967867944,0.0,-0.0
96,0.0,0.0,5e-08,5e-08,gaussian,0.2537475178873173,0.7279478598064884,0.0,5e-08,5e-08,-53.430257010710704,-53.430257010710704,0.0,0.0
97,0.0,0.0,5e-08,5e-08,gaussian,0.3329443035833266,0.7433394435563851,0.0,5e-08,5e-08,33.72102804284276,33.72102804284276,0.0,0.0
98,0.0,0.0,5e-08,5e-08,gaussian,0.2918556654158573,0.8629638055407576,0.0,5e-08,5e-08,53.430257010710704,53.430257010710704,0.0,-0.0
99,0.0,0.0,5e-08,5e-08,gaussian,0.2782620321803461,0.8387619849854957,0.0,5e-08,5e-08,-46.86051402142135,-46.86051402142135,0.0,0.0
100,0.0,0.0,5e-08,5e-08,gaussian,0.2384281685376321,0.7172083712364486,0.0,5e-08,5e-08,-73.13948597857859,-73.13948597857859,-0.0,0.0
101,0.0,0.0,5e-08,5e-08,gaussian,0.2819982268816048,0.7234691477179988,0.0011432763066666666,5e-08,5e-08,-39.095299338642434,-39.095299338642434,-0.0,0.0
102,0.0,0.0,5e-08,5e-08,gaussian,0.2674822977420248,0.5399023257466122,0.0011432763066666666,5e-08,5e-08,39.09529933864241,39.09529933864241,0.0,0.0
103,0.0,0.0,5e-08,5e-08,gaussian,0.3142639558869587,0.9435298308139681,0.0011432763066666666,5e-08,5e-08,53.031766446214164,53.031766446214164,0.0,-0.0
104,0.0,0.0,5e-08,5e-08,gaussian,0.2867347794767054,0.7575278520131815,0.0011432763066666666,5e-08,5e-08,80.90470066135762,80.90470066135762,0.0,-0.0
