MM #,mux_in,muy_in,mux_fin,muy_fin,mux_changed,muy_changed,mux_zeroed,muy_zeroed
291,4.207227876447707e-05,-4.1006233274225986e-05,-0.0,0.0,True,True,True,True
292,-5.5744751130984776e-05,-1.9430922897813776e-05,0.0,-0.0,True,True,True,True
293,4.646379644763098e-06,-8.060400655442848e-05,0.0,-0.0,True,True,True,True
294,-4.6311931516860864e-05,-8.381471024194307e-05,0.0,-0.0,True,True,True,True
295,-0.0001067262112268,7.264549842585473e-05,0.0,-0.0,True,True,True,True
296,-6.597595251732254e-05,5.306775447074334e-05,0.0,0.0,True,True,True,True
297,6.406979626596202e-05,3.5511073804956564e-05,0.0,0.0,True,True,True,True
298,0.000120354231504,-5.8457577210176255e-05,-0.0,0.0,True,True,True,True
299,0.0001244406200712,-0.0001222411454229,0.0,0.0,True,True,True,True
300,-5.306233810611508e-06,-3.9285248434623365e-05,0.0,-0.0,True,True,True,True
301,6.508085146089056e-06,3.962608733220695e-05,-0.0,0.0,True,True,True,True
302,-2.2441556801085203e-05,-3.5536580679910385e-05,0.0,0.0,True,True,True,True
303,3.422417503795432e-05,3.3431468502471206e-05,0.0,0.0,True,True,True,True
304,1.1618097027362505e-05,4.579916944461114e-07,0.0,0.0,True,True,True,True
305,3.135713963358818e-06,8.199270400852334e-06,0.0,-0.0,True,True,True,True
306,1.8905674453709796e-05,5.666191340616129e-05,0.0,0.0,True,True,True,True
307,1.896506516351056e-05,-1.6244542390133694e-05,0.0,0.0,True,True,True,True
308,7.226309870871146e-06,-1.9911569801321906e-05,0.0,0.0,True,True,True,True
309,-6.174827063602572e-06,2.3071852289029655e-05,-0.0,0.0,True,True,True,True
310,1.2014452281778714e-05,1.6027443633212774e-05,0.0,0.0,True,True,True,True
311,1.5767809747521128e-05,-8.948676293790483e-06,0.0,0.0,True,True,True,True
312,2.659982459129571e-05,1.0611974299841488e-05,0.0,0.0,True,True,True,True
313,-5.070237871008151e-06,2.053190886050682e-06,0.0,0.0,True,True,True,True
314,-2.8928011329116893e-05,1.3184423641541816e-05,0.0,0.0,True,True,True,True
315,-8.685607481569806e-06,5.7844535274594755e-06,-0.0,0.0,True,True,True,True
316,-1.5707749100585049e-06,-2.8202612162856253e-05,-0.0,0.0,True,True,True,True
317,2.8276512388080883e-05,-3.36010052924862e-05,0.0,-0.0,True,True,True,True
318,-1.2598588319467125e-05,-1.0067441884799644e-05,-0.0,0.0,True,True,True,True
319,-5.2813186911640805e-05,-1.440919105095493e-05,-0.0,0.0,True,True,True,True
320,-2.709685172060125e-05,1.0833204002593751e-05,0.0,0.0,True,True,True,True
321,1.7544607380264515e-05,-5.360419416953582e-05,0.0,-0.0,True,True,True,True
322,2.9769020183630143e-05,-1.840445093836919e-05,-0.0,0.0,True,True,True,True
323,-2.8248944226503797e-05,9.419729141577708e-06,0.0,0.0,True,True,True,True
324,-3.9295761149772824e-05,1.5903059059014942e-06,0.0,-0.0,True,True,True,True
325,1.4970137783878015e-05,5.815498007204943e-05,0.0,0.0,True,True,True,True
326,3.473833020662232e-05,-1.0887015089779506e-05,0.0,0.0,True,True,True,True
327,7.086029579941228e-05,-3.235878094726044e-05,-0.0,0.0,True,True,True,True
328,1.1584175742644486e-05,-1.202548470531312e-05,0.0,0.0,True,True,True,True
329,-4.834699807074003e-05,-3.460984175421977e-05,0.0,0.0,True,True,True,True
330,-8.357110376691013e-05,4.531304847806611e-05,-0.0,0.0,True,True,True,True
